nodeName	altName	nodeAttr[nodesPresent, ]
ENSRNA050021497		brown
ENSRNA050021560		brown
TraesCS1A02G001800	GO:0003735,GO:0006412,GO:0005840	brown
TraesCS1A02G007500	GO:0009535,GO:0003755,GO:0006457,GO:0010275,GO:0009533,GO:0043424,GO:0031977,GO:0000413	brown
TraesCS1A02G015100		brown
TraesCS1A02G024700	GO:0003723,GO:0006396,GO:0001522,GO:0009982,GO:0009451	brown
TraesCS1A02G030100	GO:0005507,GO:0048046,GO:0009579,GO:0042742,GO:0009570	brown
TraesCS1A02G041300	GO:0004867,GO:0009611	brown
TraesCS1A02G060500	GO:0005515	brown
TraesCS1A02G063500	GO:0008270	brown
TraesCS1A02G078700	GO:0016021,	brown
TraesCS1A02G100600	GO:0004252,GO:0006508,GO:0005515	brown
TraesCS1A02G130900	GO:0003677	brown
TraesCS1A02G134500	GO:0003723,GO:0001522,GO:0009982,GO:0009451	brown
TraesCS1A02G142000		brown
TraesCS1A02G144800	GO:0005515	brown
TraesCS1A02G150800	GO:0016021,GO:0016491,GO:0005506,GO:0055114,GO:0008610	brown
TraesCS1A02G151500	GO:0005524,GO:0003723,GO:0000166,GO:0004831,GO:0006418,GO:0004812,GO:0006437	brown
TraesCS1A02G155000	GO:0016021	brown
TraesCS1A02G165800	GO:0009507	brown
TraesCS1A02G173700	GO:0005524,GO:0009058,GO:0016874,GO:0004326,GO:0009396,GO:0006730	brown
TraesCS1A02G188600		brown
TraesCS1A02G193500	GO:0009535,GO:0010287	brown
TraesCS1A02G195500	GO:0009507,	brown
TraesCS1A02G198400	GO:0009535,GO:0004252,GO:0004176,GO:0006508,GO:0048510,GO:0009840,GO:0009941,GO:0009658	brown
TraesCS1A02G208400	GO:0005737,GO:0005524,GO:0010020,GO:0008360,GO:0009058,GO:0016881,GO:0051301,GO:0009507,GO:0016874,GO:0009295	brown
TraesCS1A02G214600	GO:0005737,GO:0006457	brown
TraesCS1A02G224700	GO:0016021,GO:0015995,GO:0016765,GO:0046408,GO:0009534	brown
TraesCS1A02G239400	GO:0020037,GO:0004497,GO:0005506,GO:0016705,GO:0055114	brown
TraesCS1A02G249500	GO:0005524,GO:0004672,GO:0006468	brown
TraesCS1A02G252300	GO:0006355,GO:0003690	brown
TraesCS1A02G254500		brown
TraesCS1A02G258000	GO:0071949	brown
